method,label,status,solver_status,solve_time_s,solver_inaccurate,error,optimizer_model,rate_spectral_efficiency,rate_bps,tx_power_w,system_power_w,energy_efficiency_bit_per_j,sensing_surrogate,delay_fim_per_s2,delay_fim_known_amplitude_per_s2,delay_fim_unknown_amplitude_per_s2,delay_crb_s2,range_rmse_bound_m,psl_db,isl_db,peak_power_w,power_variance_w2,num_active_subcarriers,spectral_centroid_hz,power_weighted_spectral_variance_hz2,unknown_amplitude_kernel_w_hz2,rate_mbps,ee_mbit_per_j,optimizer_claimed_sensing_metric,optimizer_claimed_known_fim,independently_evaluated_unknown_fim,independently_evaluated_known_fim,fim_mismatch_percent,centroid_magnitude_hz,gamma_unknown_fim,gamma_conventional_s,c_beta,j_max,s_max,fim_fraction,max_range_rmse_m_target,optimizer_claimed_sensing_satisfied,physical_sensing_satisfied,false_sensing_feasibility,psl_requirement_applicable,requested_psl_max_db,optimization_grid_psl_db,validation_grid_psl_db,dense_psl_db,psl_margin_db,dense_psl_satisfied,psl_tolerance_db,optimization_oversampling,validation_oversampling,worst_delay_s,mainlobe_exclusion_s,realization,channel_kind,water_level_w,sensing_model,min_sensing_surrogate,psl_max_db,psl_rho,num_psl_soc_constraints,psl_mainlobe_exclusion_s,min_unknown_fim,gamma_fim_kernel,unknown_fim_representation,s0_epsilon_w,validation_grid_isl_db,violation_margin_db,optimization_grid_sidelobe_samples,validation_grid_sidelobe_samples,cutting_plane_iteration,cutting_plane_num_constraints,cutting_plane_converged,cutting_plane_iterations,cutting_plane_status,cutting_plane_infeasible,cutting_plane_runtime_s,num_added_soc_constraints,num_final_soc_constraints,initial_validation_grid_psl_db,initial_optimization_grid_psl_db,worst_violating_delay_s,num_worst_violating_delays,dinkelbach_iterations,dinkelbach_converged,dinkelbach_q_final_bit_per_j,dinkelbach_final_residual_bps,total_solve_time_s,asymmetry
uniform,Uniform,ok,ok,1.454499943065457e-05,False,,none,378.2934807890367,5674402.211835551,1.0,3.357142857142857,1690247.4673552704,76781250000.0,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,4.936809265680052e-19,0.10532073506634214,-13.256466474732292,-9.684463547443015,0.015625,0.0,64,0.0,76781250000.0,76781250000.0,5.6744022118355515,1.6902474673552703,76781250000.0,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,0.0,0.0,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,False,False,False,True,-13.256466474732292,-13.456972739469613,-13.256466474732292,-13.256466474732292,0.0,True,0.25,4,32,-1.4973958333333334e-06,1.0416666666666667e-06,0,natural_tdl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
water_filling,Water-filling,ok,ok,0.00021443199875648133,False,,none,378.3012890500469,5674519.335750703,1.0000000000003806,3.357142857143945,1690282.355329449,77280908260.85724,2.0387815318166088e+18,2.0387815318166088e+18,2.0386606117877363e+18,4.9048904180968e-19,0.10497970832976597,-13.082374406333546,-9.516461227699843,0.01586528827168721,4.32635155440241e-08,64,2140.9172648962794,77276324734.0927,77276324734.1221,5.674519335750703,1.690282355329449,77280908260.85724,2.0387815318166088e+18,2.0386606117877363e+18,2.0387815318166088e+18,0.005930994909724586,2140.9172648962794,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,False,False,False,True,-13.256466474732292,-13.296757297394215,-13.082374406333546,-13.082374406333546,-0.17409206839874614,True,0.25,4,32,-1.4973958333333334e-06,1.0416666666666667e-06,0,natural_tdl,0.015956078188321888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conventional_s2,Conventional $S_2$,ok,optimal,0.008074245997704566,False,,conventional_s2,377.1333906474531,5657000.859711796,0.9999999992837629,3.3571428550964657,1685064.0868987523,88790624897.1171,2.3424244139012956e+18,2.3424244139012956e+18,2.3423033891963213e+18,4.2690811881289487e-19,0.09793950717507745,-10.479247196220152,-6.237195654996508,0.022532673506187227,7.614712841418377e-06,64,2141.843722584564,88786037466.18027,88786037402.58841,5.657000859711796,1.6850640868987523,88790624897.1171,2.3424244139012956e+18,2.3423033891963213e+18,2.3424244139012956e+18,0.005166642913047938,2141.843722584564,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,False,True,True,-13.256466474732292,-10.95297776575434,-10.474490014483859,-10.474490014483859,-2.7819764602484334,False,0.25,4,32,-1.3997395833333333e-06,1.0416666666666667e-06,0,natural_tdl,,known_amplitude_linear,88790624899.74777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conventional_s2_psl,Conventional $S_2$+PSL,ok,optimal,0.4320872499993129,False,,conventional_s2,375.8021715657713,5637032.573486569,0.9999999994887752,3.357142855682215,1679116.0864499616,88790624865.45532,2.342424413066012e+18,2.342424413066012e+18,2.342286969792581e+18,4.2690811896512577e-19,0.09793950719253955,-13.023722283216575,-5.410700269509093,0.033750075399329706,1.923819573997552e-05,64,2282.5090515908387,88785415063.2767,88785415017.88739,5.637032573486569,1.6791160864499617,88790624865.45532,2.342424413066012e+18,2.342286969792581e+18,2.342424413066012e+18,0.005867564932485473,2282.5090515908387,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,False,True,True,-13.256466474732292,-13.256466469241538,-13.023722283216575,-13.023722283216575,-0.23274419151571735,True,0.25,4,32,-1.3671875e-06,1.0416666666666667e-06,0,natural_tdl,,known_amplitude_linear,88790624899.74777,-13.256466474732292,0.2173585239870126,249.0,1.0416666666666667e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
exact_efim,Exact EFIM,ok,optimal,0.009066335998795694,False,,exact_efim,377.13277150467366,5656991.572570105,0.9999999994289381,3.357142855511252,1685061.3203079242,88792777381.76404,2.342481199542723e+18,2.342481199542723e+18,2.342424412073092e+18,4.268977698498543e-19,0.09793832005958579,-10.478786580744426,-6.2364759643115555,0.022491543136999415,7.6118302444256355e-06,64,1467.1584600957767,88790624878.52318,88790624827.81824,5.656991572570105,1.685061320307924,88792777381.76404,2.342481199542723e+18,2.342424412073092e+18,2.342481199542723e+18,0.002424244414087998,1467.1584600957767,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,True,False,True,-13.256466474732292,-10.952633835799585,-10.47405174883754,-10.47405174883754,-2.7824147258947516,False,0.25,4,32,-1.3997395833333333e-06,1.0416666666666667e-06,0,natural_tdl,,unknown_amplitude_exact,,,,,,2.3424244139706967e+18,88790624899.74777,quad_over_lin,1e-12,,,,,,,,,,,,,,,,,,,,,,,
exact_efim_sampled_psl,Exact EFIM+sampled PSL,ok,optimal,0.480611785002111,False,,exact_efim,375.801002462953,5637015.036944295,0.9999999995433094,3.357142855838027,1679110.8627211382,88791581522.15509,2.342449651045944e+18,2.342449651045944e+18,2.342424410738795e+18,4.2690351937916055e-19,0.09793897958205838,-13.023582470766765,-5.410361854414804,0.03339065935540345,1.9229986521527495e-05,64,978.1333827235381,88790624817.79097,88790624777.24113,5.6370150369442955,1.6791108627211382,88791581522.15509,2.342449651045944e+18,2.342424410738795e+18,2.342449651045944e+18,0.0010775175952033706,978.1333827235381,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,True,False,True,-13.256466474732292,-13.256466472835127,-13.023582470766765,-13.023582470766765,-0.2328840039655269,True,0.25,4,32,-1.3671875e-06,1.0416666666666667e-06,0,natural_tdl,,unknown_amplitude_exact,,-13.256466474732292,0.2173585239870126,249.0,1.0416666666666667e-06,2.3424244139706967e+18,88790624899.74777,quad_over_lin,1e-12,,,,,,,,,,,,,,,,,,,,,,,
exact_efim_cutting_plane_psl,Exact EFIM+cutting-plane PSL,ok,optimal,0.49326231200029724,False,,exact_efim,375.801002462953,5637015.036944295,0.9999999995433094,3.357142855838027,1679110.8627211382,88791581522.15509,2.342449651045944e+18,2.342449651045944e+18,2.342424410738795e+18,4.2690351937916055e-19,0.09793897958205838,-13.023582470766765,-5.410361854414804,0.03339065935540345,1.9229986521527495e-05,64,978.1333827235381,88790624817.79097,88790624777.24113,5.6370150369442955,1.6791108627211382,88791581522.15509,2.342449651045944e+18,2.342424410738795e+18,2.342449651045944e+18,0.0010775175952033706,978.1333827235381,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,True,False,True,-13.256466474732292,-13.256466472835127,-13.023582470766765,-13.023582470766765,-0.2328840039655269,True,0.25,4,32,-1.3671875e-06,1.0416666666666667e-06,0,natural_tdl,,unknown_amplitude_exact,,-13.256466474732292,0.2173585239870126,249.0,1.0416666666666667e-06,2.3424244139706967e+18,88790624899.74777,quad_over_lin,1e-12,-5.413214903150315,-0.2328840039655269,249.0,1985.0,1.0,249.0,True,1.0,dense_psl_satisfied,False,0.49326231200029724,0.0,249.0,-13.023582470766765,-13.256466472835127,,0.0,,,,,,
exact_efim_cutting_plane_psl_ee,Exact EFIM+cutting-plane PSL+EE,ok,optimal,0.8227539200015599,False,,exact_efim,360.92070118588674,5413810.517788301,0.9187606487216126,3.125030424918893,1732402.4990664886,88790791764.5416,2.3424288161039995e+18,2.3424288161039995e+18,2.3424244112561664e+18,4.2690731651057434e-19,0.09793941514458268,-13.01424004874001,-0.6778924649042859,0.06249999977735963,0.0001011409047129875,64,426.2996985894946,96641736800.98064,88790624796.85231,5.413810517788301,1.7324024990664886,88790791764.5416,2.3424288161039995e+18,2.3424244112561664e+18,2.3424288161039995e+18,0.00018804617680610161,426.2996985894946,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,True,False,True,-13.256466474732292,-13.256466462745486,-13.01424004874001,-13.01424004874001,-0.24222642599228195,True,0.25,4,32,-3.3203125000000002e-06,1.0416666666666667e-06,0,natural_tdl,,unknown_amplitude_exact,,-13.256466474732292,0.2173585239870126,249.0,1.0416666666666667e-06,2.3424244139706967e+18,88790624899.74777,quad_over_lin,1e-12,-0.6815420961941763,-0.24222642599228195,249.0,1985.0,1.0,249.0,True,1.0,dense_psl_satisfied,False,0.8227539200015599,0.0,249.0,-13.01424004874001,-13.256466462745486,,0.0,4.0,True,1732402.4992261364,-0.0004989039152860641,0.778544246997626,
uniform,Uniform,ok,ok,1.4373999874806032e-05,False,,none,310.3572341886714,4655358.512830071,1.0,3.357142857142857,1386702.535736617,76781250000.0,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,4.936809265680052e-19,0.10532073506634214,-13.256466474732292,-9.684463547443015,0.015625,0.0,64,0.0,76781250000.0,76781250000.0,4.655358512830071,1.386702535736617,76781250000.0,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,0.0,0.0,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,False,False,False,True,-13.256466474732292,-13.456972739469613,-13.256466474732292,-13.256466474732292,0.0,True,0.25,4,32,-1.4973958333333334e-06,1.0416666666666667e-06,1,natural_tdl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
water_filling,Water-filling,ok,ok,0.00020807199689443223,False,,none,310.5640712141965,4658461.068212947,1.0000000000001954,3.3571428571434154,1387626.7011695832,75926177881.24771,2.0030417955648576e+18,2.0030417955648576e+18,1.9966005043865231e+18,4.992407059174719e-19,0.10591212983879048,-14.115229238004531,-9.920325997676905,0.016495675592606673,1.307961345541663e-06,64,15625.618949095366,75682017913.69055,75682017913.70534,4.658461068212947,1.3876267011695833,75926177881.24771,2.0030417955648576e+18,1.9966005043865231e+18,2.0030417955648576e+18,0.32157547548916826,15625.618949095366,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,False,False,False,True,-13.256466474732292,-14.363885423083747,-14.115229238004531,-14.115229238004531,0.8587627632722388,True,0.25,4,32,-1.4973958333333334e-06,1.0416666666666667e-06,1,natural_tdl,0.016681164942056157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
